order;level;code;WGSRPD_name;;
1;L1;1;Europe;;
2;L2;10;Northern Europe;;
3;L3;DEN;Denmark;;
4;L3;FIN;Finland;;
5;L3;FOR;Føroyar;;
6;L3;GRB;Great Britain;;
7;L3;ICE;Iceland;;
8;L3;IRE;Ireland;;
9;L4;IRE-IR;Ireland;;
10;L4;IRE-NI;Northern Ireland;;
11;L3;NOR;Norway;;
12;L3;SVA;Svalbard;;
13;L3;SWE;Sweden;;
14;L2;11;Middle Europe;;
15;L3;AUT;Austria;;
16;L4;AUT-AU;Austria;;
17;L4;AUT-LI;Liechtenstein;;
18;L3;BGM;Belgium;;
19;L4;BGM-BE;Belgium;;
20;L4;BGM-LU;Luxembourg;;
21;L3;CZE;Czechoslovakia;;
22;L4;CZE-CZ;Czech Republic;;
23;L4;CZE-SL;Slovakia;;
24;L3;GER;Germany;;
25;L3;HUN;Hungary;;
26;L3;NET;Netherlands;;
27;L3;POL;Poland;;
28;L3;SWI;Switzerland;;
29;L2;12;Southwestern Europe;;
30;L3;BAL;Baleares;;
31;L3;COR;Corse;;
32;L3;FRA;France;;
33;L4;FRA-CI;Channel Is.;;
34;L4;FRA-FR;France;;
35;L4;FRA-MO;Monaco;;
36;L3;POR;Portugal;;
37;L3;SAR;Sardegna;;
38;L3;SPA;Spain;;
39;L4;SPA-AN;Andorra;;
40;L4;SPA-GI;Gibraltar;;
41;L4;SPA-SP;Spain;;
42;L2;13;Southeastern Europe;;
43;L3;ALB;Albania;;
44;L3;BUL;Bulgaria;;
45;L3;GRC;Greece;;
46;L3;ITA;Italy;;
47;L4;ITA-IT;Italy;;
48;L4;ITA-SM;San Marino;;
49;L4;ITA-VC;Vatican City;;
50;L3;KRI;Kriti;;
51;L3;ROM;Romania;;
52;L3;SIC;Sicilia;;
53;L4;SIC-MA;Malta;;
54;L4;SIC-SI;Sicilia;;
55;L3;TUE;Turkey-in-Europe;;
56;L3;YUG;Yugoslavia;;
57;L4;YUG-BH;Bosnia- Herzegovina;;
58;L4;YUG-CR;Croatia;;
59;L4;YUG-KO;Kosovo;;
60;L4;YUG-MA;Macedonia;;
61;L4;YUG-MN;Montenegro;;
62;L4;YUG-SE;Serbia;;
63;L4;YUG-SL;Slovenia;;
64;L2;14;Eastern Europe;;
