SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
8000070;Arabis scabra;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;scabra;Heidelberg/Marcus Koch;278599-1;5374852;EUROPE;W. Europe to SW. Alps;perennial;temperate;H;NA;NA;NA;NA
8008999;Arabis blepharophylla;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;blepharophylla;Heidelberg/Marcus Koch;278047-1;5374908;NORTHERN AMERICA;California;perennial;temperate;H;ornamental;Coast rock cress;'Rijstebrei scheefkelk';NA
8009952;Pseudodraba hystrix;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Pseudodraba;hystrix;Heidelberg/Marcus Koch;77111176-1;8314831;ASIA-TEMPERATE;Afghanistan to W. Pakistan;subshrub;temperate;H;NA;NA;NA;Y
CRNC;Limnanthes douglasii;Limnanthaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ERR2789774;Ballantinia pumilio;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Ballantinia;pumilio;GAP phylogenomics;77142844-1;10748539;AUSTRALASIA;W. & WC. Victoria, C. & N. Tasmania;annual;subtropical;H;NA;NA;NA;Y
ERR4210213;Schimpera arabica;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Schimpera;arabica;GAP phylogenomics;288837-1;3050640;AFRICA;E. Medit. to W. & S. Iran and Arabian Pen.;annual;desert or dry shrubland;H;NA;NA;NA;Y
HYZL;Akania bidwillii;Akaniaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MYZV;Tropaeolum peregrinum;Tropaeolaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_005410;Koeberlinia spinosa;Koeberliniaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_005411;Batis maritima;Bataceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_008053;Tiganophyton karense;Tiganophytaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_014331;Macrohasseltia macroterantha;Malvaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_019361;Cleome albescens;Cleomaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_019459;Vasconcellea quercifolia;Caricaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023477;Moringa oleifera;Moringaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023503;Salvadora persica;Salvadoraceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
