SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
S1221;Guenthera souliei;;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Guenthera;souliei;BrassiWood/Kasper Hendriks;279530-1;3053638;NA;EUROPE;NW. Africa;1, 2;NA;NA;13, 20;NA;NA;ALG, MOR, SIC, TUN;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519632
S0275;Synthlipsis greggii;A. Gray;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Synthlipsis;greggii;BrassiWood/Kasper Hendriks;290269-1;5373318;169503;NORTHERN AMERICA;Texas to NE. Mexico;7;NA;NA;77, 79;NA;NA;MXE, TEX;NA;NA;annual, biennial or perennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519468
S0383;Physaria didymocarpa;A. Gray;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Physaria;didymocarpa;BrassiWood/Kasper Hendriks;30186061-2;3049104;166822;NORTHERN AMERICA;W. Canada to NW. U.S.A.;7;NA;NA;71, 73;NA;NA;ABT, BRC, IDA, MNT, WAS, WYO;NA;NA;perennial;temperate;H;NA;common twinpod, double twinpod;NA;NA;SRR22519374
S0727;Dryopetalon runcinatum;A. Gray;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Dryopetalon;runcinatum;BrassiWood/Kasper Hendriks;30220416-2;3049367;162107;NORTHERN AMERICA;Arizona to Texas and N. Mexico;7;NA;NA;76, 77, 79;NA;NA;ARI, MXE, MXN, NWM, TEX;NA;NA;annual or biennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519436
S1227;Boechera holboellii;A. L�ve & D. L�ve;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Boechera;holboellii;BrassiWood/Kasper Hendriks;1137585-2;8186428;64064;NORTHERN AMERICA;Greenland;7;NA;NA;70;NA;NA;GNL;NA;NA;biennial or perennial;subalpine or subarctic;H;NA;holboell's rockcress;NA;NA;SRR22519630
SRR8528381;Idahoa scapigera;A. Nelson & J.F. Macbr.;Brassicaceae;Brassicoideae;Heliophilodae (V);Subularieae;Idahoa;scapigera;BrassiToL/Luke Nikolov;127640-2;3054087;77486;NORTHERN AMERICA;SW. Canada to W. U.S.A.;7;NA;NA;71, 73, 76;NA;NA;BRC, CAL, IDA, MNT, NEV, ORE, WAS;NA;NA;annual;temperate;H;NA;flatpod, old-stem idahoa, scalepod, scapose scalepod;NA;NA;SRR8528381
S0717;Stevenia alyssoides;Adams ex Fisch.;Brassicaceae;Brassicoideae;Arabodae (IV);Stevenieae;Stevenia;alyssoides;BrassiWood/Kasper Hendriks;290095-1;5373607;933468;ASIA-TEMPERATE;S. & E. Siberia to Mongolia;3;NA;NA;30, 37;NA;NA;BRY, IRK, MON, YAK;NA;NA;annual or biennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519444
S0718;Catolobus pendulus;Al-Shehbaz;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Catolobus;pendulus;BrassiWood/Kasper Hendriks;77069420-1;3688630;897421;EUROPE;E. Europe to Japan;1, 3;NA;NA;14, 30, 31, 32, 36, 37, 38;NA;NA;ALT, AMU, BLR, BRY, CHC, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, CTA, IRK, JAP, KAM, KAZ, KGZ, KHA, KOR, KRA, KUR, MAG, MON, PRM, RUC, RUE, RUN, RUS, SAK, TVA, UKR, WSB, YAK;NA;NA;biennial;temperate;H;NA;NA;NA;NA;SRR22519443
S0765;Baimashania pulvinata;Al-Shehbaz;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Baimashania;pulvinata;BrassiWood/Kasper Hendriks;1018335-1;3046684;792386;ASIA-TEMPERATE;China (NW. Yunnan: Baima Shan);3;NA;NA;36;NA;NA;CHC;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519328
S1043;Dactylocardamum imbricatifolium;Al-Shehbaz;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Dactylocardamum;imbricatifolium;BrassiWood/Kasper Hendriks;275636-2;3042986;792397;SOUTHERN AMERICA;Peru (Cordillera Blanca);8;NA;NA;83;NA;NA;PER;NA;NA;subshrub;montane tropical;W;NA;NA;NA;Least Concern;SRR22519523
